seed,split,feature_set,train_rows,test_rows,train_positives,test_positives,train_prevalence,test_prevalence,valid_for_auc_ap,average_precision,roc_auc
3,market_grouped,with_seller_identity,3564,1543,215,95,0.06032547699214366,0.06156837329876863,True,0.9338311383041786,0.9960090142483281
3,seller_blocked,no_seller_identity,3682,1425,240,70,0.06518196632265073,0.04912280701754386,True,0.9351971225583109,0.9973642593568792
3,seller_blocked,with_seller_identity,3682,1425,240,70,0.06518196632265073,0.04912280701754386,True,0.4638125139889403,0.9297311544544018
4,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9008908031594716,0.9959229390681004
4,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9497007822491093,0.9970355436081243
4,market_grouped,no_seller_identity,3603,1504,215,95,0.05967249514293644,0.06316489361702128,True,0.8653485132050864,0.994777931343618
4,market_grouped,with_seller_identity,3603,1504,215,95,0.05967249514293644,0.06316489361702128,True,0.9311065981378317,0.9958686638526764
4,seller_blocked,no_seller_identity,3444,1663,218,92,0.06329849012775841,0.05532170775706555,True,0.05724198421263238,0.5433952342733789
4,seller_blocked,with_seller_identity,3444,1663,218,92,0.06329849012775841,0.05532170775706555,True,0.06202737732482438,0.5789167796750893
5,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9090682700275724,0.9960946833930704
5,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9509873456034279,0.9970280764635604
5,market_grouped,no_seller_identity,3530,1577,215,95,0.060906515580736544,0.060240963855421686,True,0.8918886401102744,0.9956353434192768
5,market_grouped,with_seller_identity,3530,1577,215,95,0.060906515580736544,0.060240963855421686,True,0.9529172779576041,0.9970772071880105
5,seller_blocked,no_seller_identity,3766,1341,255,55,0.06771109930961232,0.041014168530947054,True,0.9784824524623323,0.9982680616428672
5,seller_blocked,with_seller_identity,3766,1341,255,55,0.06771109930961232,0.041014168530947054,True,0.9841306081073911,0.9985932419058391
6,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8665138848034223,0.9937910692951016
6,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.916771379155351,0.9952770310633213
6,market_grouped,no_seller_identity,3535,1572,215,95,0.06082036775106082,0.060432569974554706,True,0.8713366797024418,0.9948758151302427
6,market_grouped,with_seller_identity,3535,1572,215,95,0.06082036775106082,0.060432569974554706,True,0.9361556195565148,0.9960945016569861
6,seller_blocked,no_seller_identity,3877,1230,235,75,0.060613876708795464,0.06097560975609756,True,0.7612706350638047,0.9866955266955267
6,seller_blocked,with_seller_identity,3877,1230,235,75,0.060613876708795464,0.06097560975609756,True,0.7288185444523907,0.9834747474747475
7,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8247408923330055,0.9927830047789726
7,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8533276080891508,0.992551523297491
7,market_grouped,no_seller_identity,3590,1517,215,95,0.05988857938718663,0.06262359920896507,True,0.9408198374102449,0.9967429121326523
7,market_grouped,with_seller_identity,3590,1517,215,95,0.05988857938718663,0.06262359920896507,True,0.9513187914694174,0.9971204382263675
7,seller_blocked,no_seller_identity,3468,1639,118,192,0.034025374855824686,0.11714460036607688,True,0.8035356220689269,0.988217360631191
7,seller_blocked,with_seller_identity,3468,1639,118,192,0.034025374855824686,0.11714460036607688,True,0.7351038199564756,0.9738377533978346
8,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8393815729086217,0.9928091397849463
8,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9206902883050178,0.9951612903225806
8,market_grouped,no_seller_identity,3539,1568,215,95,0.060751624752755015,0.06058673469387755,True,0.8538025532304361,0.9937470968664023
8,market_grouped,with_seller_identity,3539,1568,215,95,0.060751624752755015,0.06058673469387755,True,0.9195972585981269,0.9953978632936721
8,seller_blocked,no_seller_identity,3594,1513,239,71,0.06649972175848637,0.046926635822868476,True,0.718543940462335,0.9819548358109824
8,seller_blocked,with_seller_identity,3594,1513,239,71,0.06649972175848637,0.046926635822868476,True,0.6668920283968816,0.9791320739973823
9,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9069199321782467,0.9962216248506571
9,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9600603911890445,0.9975806451612903
9,market_grouped,no_seller_identity,3559,1548,215,95,0.06041022759202023,0.06136950904392765,True,0.9418750470067574,0.996413952982939
9,market_grouped,with_seller_identity,3559,1548,215,95,0.06041022759202023,0.06136950904392765,True,0.9493904761992435,0.9968631144275003
9,seller_blocked,no_seller_identity,3452,1655,266,44,0.07705677867902665,0.026586102719033233,True,0.4488335268005619,0.9845945488403589
9,seller_blocked,with_seller_identity,3452,1655,266,44,0.07705677867902665,0.026586102719033233,True,0.3642204944412358,0.9749449805315727
10,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8920076192094409,0.9945415173237754
10,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9385467076457913,0.9959304062126643
10,market_grouped,no_seller_identity,3559,1548,215,95,0.06041022759202023,0.06136950904392765,True,0.944655953346119,0.9967290904480748
10,market_grouped,with_seller_identity,3559,1548,215,95,0.06041022759202023,0.06136950904392765,True,0.9625967081366977,0.9977071032709095
10,seller_blocked,no_seller_identity,3450,1657,229,81,0.0663768115942029,0.04888352444176222,True,0.9974592781265365,0.9998550792755531
10,seller_blocked,with_seller_identity,3450,1657,229,81,0.0663768115942029,0.04888352444176222,True,0.9975689272493435,0.9998629128282259
11,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8574467097785777,0.9940337514934289
11,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9273843753462847,0.9959901433691757
11,market_grouped,no_seller_identity,3529,1578,215,95,0.06092377444035137,0.060202788339670466,True,0.891848189987376,0.9946978031728004
11,market_grouped,with_seller_identity,3529,1578,215,95,0.06092377444035137,0.060202788339670466,True,0.9472847664669755,0.996742023636299
11,seller_blocked,no_seller_identity,3627,1480,240,70,0.06617038875103391,0.0472972972972973,True,0.7313379944176235,0.9844630192502533
11,seller_blocked,with_seller_identity,3627,1480,240,70,0.06617038875103391,0.0472972972972973,True,0.6158822363938523,0.9635612968591691
12,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8505064632502033,0.9957063918757467
12,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8644319611795185,0.9961320191158901
12,market_grouped,no_seller_identity,3523,1584,215,95,0.0610275333522566,0.05997474747474747,True,0.8514067532285776,0.9931568343289385
12,market_grouped,with_seller_identity,3523,1584,215,95,0.0610275333522566,0.05997474747474747,True,0.9252598728673638,0.9953907603124669
12,seller_blocked,no_seller_identity,3648,1459,148,162,0.04057017543859649,0.11103495544893763,True,0.8534973023931103,0.9895509104581323
12,seller_blocked,with_seller_identity,3648,1459,148,162,0.04057017543859649,0.11103495544893763,True,0.7467009941222353,0.9821977593116118
13,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8275031070347388,0.9922304360812426
13,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8889556712160442,0.9935894563918758
13,market_grouped,no_seller_identity,3533,1574,215,95,0.06085479762241721,0.06035578144853875,True,0.883249708142633,0.994267107932102
13,market_grouped,with_seller_identity,3533,1574,215,95,0.06085479762241721,0.06035578144853875,True,0.9214454782549744,0.9953204512294936
13,seller_blocked,no_seller_identity,3837,1270,216,94,0.05629397967161845,0.07401574803149606,True,0.7526369702616916,0.9873127442466348
13,seller_blocked,with_seller_identity,3837,1270,216,94,0.05629397967161845,0.07401574803149606,True,0.766813044205881,0.9885792082790563
14,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8616607027968687,0.994123357228196
14,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9251877649729294,0.9955197132616487
14,market_grouped,no_seller_identity,3499,1608,215,95,0.061446127464989994,0.05907960199004975,True,0.8674631322154931,0.9933593070581278
14,market_grouped,with_seller_identity,3499,1608,215,95,0.061446127464989994,0.05907960199004975,True,0.9186536674871395,0.9953003791700004
14,seller_blocked,no_seller_identity,3567,1540,220,90,0.06167647883375386,0.05844155844155844,True,0.8238149638419394,0.9930076628352489
14,seller_blocked,with_seller_identity,3567,1540,220,90,0.06167647883375386,0.05844155844155844,True,0.7272680964802368,0.9915900383141762
15,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8791898126352777,0.9950642174432497
15,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9433757101591641,0.9964083034647552
15,market_grouped,no_seller_identity,3499,1608,215,95,0.061446127464989994,0.05907960199004975,True,0.9338621389298544,0.9961317702716805
15,market_grouped,with_seller_identity,3499,1608,215,95,0.061446127464989994,0.05907960199004975,True,0.9491111134260524,0.9969944689880683
15,seller_blocked,no_seller_identity,3515,1592,243,67,0.06913229018492176,0.042085427135678394,True,0.9028555280728753,0.9978223635918767
15,seller_blocked,with_seller_identity,3515,1592,243,67,0.06913229018492176,0.042085427135678394,True,0.8958422262834539,0.9978223635918766
16,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9032267999956618,0.9964157706093191
16,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9023444873391762,0.9935782556750299
16,market_grouped,no_seller_identity,3538,1569,215,95,0.0607687959299039,0.06054811982154239,True,0.9188316090749002,0.9950653431407556
16,market_grouped,with_seller_identity,3538,1569,215,95,0.0607687959299039,0.06054811982154239,True,0.9436005153850257,0.9965864457616226
16,seller_blocked,no_seller_identity,3484,1623,241,69,0.06917336394948335,0.04251386321626617,True,0.9328636424788466,0.9976684759293455
16,seller_blocked,with_seller_identity,3484,1623,241,69,0.06917336394948335,0.04251386321626617,True,0.49254827548643765,0.9531550183724097
17,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8558035127130545,0.9940710872162486
17,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9267537226673945,0.9956466547192353
17,market_grouped,no_seller_identity,3515,1592,215,95,0.06116642958748222,0.059673366834170856,True,0.8535326425750267,0.9939668811306823
17,market_grouped,with_seller_identity,3515,1592,215,95,0.06116642958748222,0.059673366834170856,True,0.9262367159956042,0.9956122771859508
17,seller_blocked,no_seller_identity,3742,1365,192,118,0.05130946018172101,0.08644688644688645,True,0.9999287850733514,0.9999966020143259
17,seller_blocked,with_seller_identity,3742,1365,192,118,0.05130946018172101,0.08644688644688645,True,0.996241261500252,0.9996568034469167
18,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8564159825091981,0.9946572580645161
18,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9045426260212541,0.9950679510155316
18,market_grouped,no_seller_identity,3530,1577,215,95,0.060906515580736544,0.060240963855421686,True,0.8644783777982457,0.9947013282193338
18,market_grouped,with_seller_identity,3530,1577,215,95,0.060906515580736544,0.060240963855421686,True,0.9305863372690671,0.9961929114283685
18,seller_blocked,no_seller_identity,3656,1451,258,52,0.07056892778993436,0.03583735354927636,True,0.5196213080104571,0.9720748336724034
18,seller_blocked,with_seller_identity,3656,1451,258,52,0.07056892778993436,0.03583735354927636,True,0.5153067123497076,0.9720748336724034
19,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8844466812591618,0.9957213261648745
19,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9574629209382853,0.9975433094384708
19,market_grouped,no_seller_identity,3547,1560,215,95,0.06061460389061178,0.060897435897435896,True,0.9045921696586859,0.9958685108676127
19,market_grouped,with_seller_identity,3547,1560,215,95,0.06061460389061178,0.060897435897435896,True,0.9463466224410241,0.9967810310759835
19,seller_blocked,no_seller_identity,3670,1437,273,37,0.07438692098092643,0.025748086290883786,True,0.6867943713455364,0.9937837837837838
19,seller_blocked,with_seller_identity,3670,1437,273,37,0.07438692098092643,0.025748086290883786,True,0.8833614377260077,0.9966023166023167
